name,calories,protein,fat,carbohydrate,fiber,sugars,sodium,cholesterol,vitamin_c,calcium,category
"Dandelion greens, raw",45,2.7,0.7,9.2,3.5,0.71,0.0,0.0,0.0,0.0,Low-Carb
"Melons, raw, honeydew",36,0.54,0.14,9.09,0.8,8.12,0.0,0.0,0.0,0.0,Low-Carb
Potato salad with egg,157,1.96,9.4,16.18,1.3,4.95,0.0,0.0,0.0,0.0,Balanced
"Mushrooms, raw, white",22,3.09,0.34,3.26,1.0,1.98,0.0,0.0,0.0,0.0,Low-Carb
"Mushrooms, raw, morel",31,3.12,0.57,5.1,2.8,0.6,0.0,0.0,0.0,0.0,Low-Carb
"Cheese, Mexican blend",358,23.54,28.51,1.75,0.0,1.23,0.0,0.0,0.0,0.0,Balanced
"Oranges, Florida, raw",46,0.7,0.21,11.54,2.4,9.14,0.0,0.0,0.0,0.0,Balanced
"SILK Vanilla, soymilk",41,2.47,1.44,4.12,0.4,2.88,0.0,0.0,0.0,0.0,Low-Carb
"Papaya nectar, canned",57,0.17,0.15,14.51,0.6,13.91,0.0,0.0,0.0,0.0,Balanced
"Fiddlehead ferns, raw",34,4.55,0.4,5.54,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
SILK Peach soy yogurt,94,2.35,1.18,18.82,0.6,14.71,0.0,0.0,0.0,0.0,Balanced
SILK Plain soy yogurt,66,2.64,1.76,9.69,0.4,5.29,0.0,0.0,0.0,0.0,Low-Carb
"PACE, Enchilada Sauce",40,1.67,0.0,8.33,1.7,6.67,0.0,0.0,0.0,0.0,Low-Carb
Yeast extract spread,185,23.88,0.9,20.42,6.5,1.6,0.0,0.0,0.0,0.0,High-Fiber
"Tomatoes, raw, green",23,1.2,0.2,5.1,1.1,4.0,0.0,0.0,0.0,0.0,Low-Carb
"Mollusks, raw, snail",90,16.1,1.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Emu, raw, fan fillet",103,22.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Pasta, enriched, dry",371,13.04,1.51,74.67,3.2,2.67,0.0,0.0,0.0,0.0,Balanced
"Cookies, gingersnaps",416,5.6,9.8,76.9,2.2,19.92,0.0,0.0,0.0,0.0,Balanced
"Sour cream, fat free",74,3.1,0.0,15.6,0.0,0.39,0.0,0.0,0.0,0.0,Balanced
"MURRAY, Honey Graham",445,5.9,13.2,75.7,2.7,22.0,0.0,0.0,0.0,0.0,Balanced
"Frankfurter, chicken",223,15.51,16.19,2.74,0.0,2.98,0.0,0.0,0.0,0.0,Low-Carb
"Ham, canned, chopped",239,16.06,18.83,0.26,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Spices, dried, thyme",276,9.11,7.43,63.94,37.0,1.71,0.0,0.0,0.0,0.0,High-Fiber
"Carrot juice, canned",40,0.95,0.15,9.28,0.8,3.91,0.0,0.0,0.0,0.0,Low-Carb
"Corn, dried (Navajo)",386,9.88,5.22,74.93,0.0,5.38,0.0,0.0,0.0,0.0,Balanced
"Pate, truffle flavor",327,11.2,28.5,6.3,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Fruit butters, apple",173,0.39,0.3,42.47,1.5,35.3,0.0,0.0,0.0,0.0,Balanced
"Fast foods, coleslaw",153,0.95,9.91,14.89,1.9,12.19,0.0,0.0,0.0,0.0,Balanced
"Salami, beef, cooked",261,12.6,22.2,1.9,0.0,1.5,0.0,0.0,0.0,0.0,Balanced
"Spices, chili powder",282,13.46,14.28,49.7,34.8,7.19,0.0,0.0,0.0,0.0,High-Fiber
"Spices, caraway seed",333,19.77,14.59,49.9,38.0,0.64,0.0,0.0,0.0,0.0,High-Fiber
"Spices, dried, basil",233,22.98,4.07,47.75,37.7,1.71,0.0,0.0,0.0,0.0,High-Fiber
"Pickle relish, sweet",130,0.37,0.47,35.06,1.1,29.13,0.0,0.0,0.0,0.0,Balanced
"Chives, freeze-dried",311,21.2,3.5,64.29,26.2,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Fish, raw, sablefish",195,13.41,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Crackers, multigrain",482,7.1,20.4,67.6,3.5,12.0,0.0,0.0,0.0,0.0,Balanced
"Spices, ground, mace",475,6.71,32.38,50.5,20.2,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Spices, onion powder",341,10.41,1.04,79.12,15.2,6.63,0.0,0.0,0.0,0.0,High-Fiber
"Butter, without salt",717,0.85,81.11,0.06,0.0,0.06,0.0,0.0,0.0,0.0,Balanced
"Rice noodles, cooked",108,1.79,0.2,24.01,1.0,0.03,0.0,0.0,0.0,0.0,Balanced
Barley flour or meal,345,10.5,1.6,74.52,10.1,0.8,0.0,0.0,0.0,0.0,High-Fiber
"Sesbania flower, raw",27,1.28,0.04,6.73,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Garlic bread, frozen",350,8.36,16.61,41.72,2.5,3.69,0.0,0.0,0.0,0.0,Balanced
"KFC, Popcorn Chicken",351,17.67,21.74,21.18,1.0,0.0,0.0,0.0,0.0,0.0,Balanced
"APPLEBEE'S, coleslaw",120,0.79,7.09,13.17,2.8,9.33,0.0,0.0,0.0,0.0,Balanced
"Rolls, sweet, dinner",321,10.04,7.37,53.58,3.1,15.38,0.0,0.0,0.0,0.0,Balanced
"Cherries, raw, sweet",63,1.06,0.2,16.01,2.1,12.82,0.0,0.0,0.0,0.0,Balanced
"Ostrich, raw, ground",165,20.22,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"SILK Coffee, soymilk",62,2.06,1.44,10.29,0.0,9.47,0.0,0.0,0.0,0.0,Balanced
"Snacks, banana chips",519,2.3,33.6,58.4,7.7,35.34,0.0,0.0,0.0,0.0,High-Fiber
"Peaches, raw, yellow",39,0.91,0.25,9.54,1.5,8.39,0.0,0.0,0.0,0.0,Low-Carb
"Rolls, wheat, dinner",273,8.6,6.3,46.0,3.8,1.63,0.0,0.0,0.0,0.0,Balanced
"Candies, HEATH BITES",530,3.94,30.38,63.39,2.0,60.02,0.0,0.0,0.0,0.0,Balanced
"Chicken, raw, ground",143,17.44,8.1,0.04,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Pears, bartlett, raw",63,0.39,0.16,15.01,3.1,9.69,0.0,0.0,0.0,0.0,Balanced
"Toppings, strawberry",254,0.2,0.1,66.3,0.7,27.38,0.0,0.0,0.0,0.0,Balanced
"KEEBLER, Sugar Cones",375,7.3,3.7,78.0,2.1,26.4,0.0,0.0,0.0,0.0,Balanced
"Seaweed, raw, wakame",45,3.03,0.64,9.14,0.5,0.65,0.0,0.0,0.0,0.0,Low-Carb
"Seaweed, dried, agar",306,6.21,0.3,80.88,7.7,2.97,0.0,0.0,0.0,0.0,High-Fiber
"Bread, cracked-wheat",260,8.7,3.9,49.5,5.5,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Amaranth leaves, raw",23,2.46,0.33,4.02,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Barley, raw, pearled",352,9.91,1.16,77.72,15.6,0.8,0.0,0.0,0.0,0.0,High-Fiber
"Polish sausage, pork",326,14.1,28.72,1.63,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Spices, curry powder",325,14.29,14.01,55.83,53.2,2.76,0.0,0.0,0.0,0.0,High-Fiber
"Bacon bits, meatless",476,32.0,25.9,28.6,10.2,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Semolina, unenriched",360,12.68,1.05,72.83,3.9,0.0,0.0,0.0,0.0,0.0,Balanced
"Grape leaves, canned",69,4.27,1.97,11.71,9.9,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Spices, ground, sage",315,10.63,12.75,60.73,40.3,1.71,0.0,0.0,0.0,0.0,High-Fiber
"PACE, Red Taco Sauce",50,0.0,0.0,12.5,0.0,6.25,0.0,0.0,0.0,0.0,Balanced
"DENNY'S, hash browns",197,2.49,8.99,26.59,2.7,1.38,0.0,0.0,0.0,0.0,Balanced
"DENNY'S, onion rings",385,5.29,22.23,41.05,2.4,4.76,0.0,0.0,0.0,0.0,Balanced
"Ostrich, raw, oyster",125,21.55,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Oil, corn and canola",884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Pumpkin flowers, raw",15,1.03,0.07,3.28,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Celery flakes, dried",319,11.3,2.1,63.7,27.8,35.9,0.0,0.0,0.0,0.0,High-Fiber
"Crackers, egg, matzo",391,12.3,2.1,78.6,2.8,0.0,0.0,0.0,0.0,0.0,Balanced
"Loganberries, frozen",55,1.52,0.31,13.02,5.3,7.7,0.0,0.0,0.0,0.0,High-Fiber
"Tangerine juice, raw",43,0.5,0.2,10.1,0.2,9.9,0.0,0.0,0.0,0.0,Balanced
"Soybeans, raw, green",147,12.95,6.8,11.05,4.2,0.0,0.0,0.0,0.0,0.0,Balanced
"Soybean, curd cheese",151,12.5,8.1,6.9,0.0,1.6,0.0,0.0,0.0,0.0,Low-Carb
"Game meat, raw, bear",161,20.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Game meat, raw, deer",120,22.96,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Oranges, navels, raw",49,0.91,0.15,12.54,2.2,8.5,0.0,0.0,0.0,0.0,Balanced
"Tostada shells, corn",474,6.15,23.38,64.43,5.8,0.0,0.0,0.0,0.0,0.0,High-Fiber
"Fish, raw, swordfish",144,19.66,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Taro, raw, tahitian",44,2.79,0.97,6.91,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Chicory greens, raw",23,1.7,0.3,4.7,4.0,0.7,0.0,0.0,0.0,0.0,Low-Carb
"Hearts of palm, raw",115,2.7,0.2,25.61,1.5,17.16,0.0,0.0,0.0,0.0,Balanced
"Chayote, raw, fruit",19,0.82,0.13,4.51,1.7,1.66,0.0,0.0,0.0,0.0,Low-Carb
"Fish, smoked, cisco",177,16.36,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Frankfurter, turkey",223,12.23,17.29,3.81,0.0,1.21,0.0,0.0,0.0,0.0,Low-Carb
"Candies, jellybeans",375,0.0,0.05,93.55,0.2,70.0,0.0,0.0,0.0,0.0,Balanced
"Oil, ucuhuba butter",884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
Soy protein isolate,335,88.32,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Syrups, light, corn",283,0.0,0.2,76.79,0.0,76.77,0.0,0.0,0.0,0.0,Balanced
"Fish, raw, milkfish",148,20.53,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Fish, raw, monkfish",76,14.48,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Mother's loaf, pork",282,12.07,22.3,7.53,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Tapioca, dry, pearl",358,0.19,0.02,88.69,0.9,3.35,0.0,0.0,0.0,0.0,Balanced
"Guavas, raw, common",68,2.55,0.95,14.32,5.4,8.92,0.0,0.0,0.0,0.0,High-Fiber
"Spices, celery seed",392,18.07,25.27,41.35,11.8,0.67,0.0,0.0,0.0,0.0,High-Fiber
"Candies, peanut bar",522,15.5,33.7,47.4,4.1,42.22,0.0,0.0,0.0,0.0,Balanced
"Bread, toasted, rye",284,9.4,3.6,53.1,6.4,4.23,0.0,0.0,0.0,0.0,High-Fiber
"Oil, apricot kernel",884,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Balanced
"Candies, YORK BITES",394,1.78,7.32,81.64,2.0,75.0,0.0,0.0,0.0,0.0,Balanced
"Meatballs, meatless",197,21.0,9.0,8.0,4.6,1.25,0.0,0.0,0.0,0.0,High-Protein
"Emu, raw, full rump",112,22.83,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"Mustard greens, raw",27,2.86,0.42,4.67,3.2,1.32,0.0,0.0,0.0,0.0,Low-Carb
"Seaweed, raw, laver",35,5.81,0.28,5.11,0.3,0.49,0.0,0.0,0.0,0.0,Low-Carb
"Sweet rolls, cheese",360,7.1,18.3,43.7,1.2,0.0,0.0,0.0,0.0,0.0,Balanced
"Figs, stewed, dried",107,1.42,0.4,27.57,4.2,23.35,0.0,0.0,0.0,0.0,Balanced
"Bread sticks, plain",412,12.0,9.5,68.4,3.0,1.26,0.0,0.0,0.0,0.0,Balanced
"SILK Mocha, soymilk",58,2.06,1.44,9.05,0.0,7.41,0.0,0.0,0.0,0.0,Low-Carb
Milk and cereal bar,413,6.47,10.98,72.05,0.4,45.97,0.0,0.0,0.0,0.0,Balanced
"Bread, pumpernickel",250,8.7,3.1,47.5,6.5,0.53,0.0,0.0,0.0,0.0,High-Fiber
"Game meat, raw, elk",111,22.95,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"PACE, Pico De Gallo",31,0.0,0.0,9.38,0.0,6.25,0.0,0.0,0.0,0.0,Low-Carb
"Ostrich, raw, round",116,21.99,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
"HORMEL, Cure 81 Ham",106,18.43,3.59,0.21,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Prune juice, canned",71,0.61,0.03,17.45,1.0,16.45,0.0,0.0,0.0,0.0,Balanced
"McDONALD'S, BIG MAC",257,11.82,14.96,20.08,1.6,3.97,0.0,0.0,0.0,0.0,Balanced
"Soy flour, defatted",327,51.46,1.22,33.92,17.5,16.42,0.0,0.0,0.0,0.0,High-Fiber
"Bread, toasted, egg",315,10.5,6.6,52.6,2.5,1.94,0.0,0.0,0.0,0.0,Balanced
"Fish, raw, mahimahi",85,18.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Low-Carb
"Fish, raw, bluefish",124,20.04,4.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High-Protein
